CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope,target
0.011242636,-1.6770524,-0.10829691,3.4587657,-0.24283327,-1.2141811,1.9935695,0.33882922,0.34167388,5
-1.6456577,-0.07871447,-1.2555562,1.0558695,1.581849,0.2152145,-0.2155875,1.8768457,-0.5345434,5
0.13179965,-0.9622241,-0.44661272,-1.1629037,0.08124735,1.1110009,-0.09508802,0.6456414,-0.9100653,1
0.24210161,-0.07152741,0.05932345,-0.66322094,0.03056189,-1.0051222,0.86890787,0.47786042,-0.40936944,3
-0.0034743515,-0.6460898,0.44286594,-0.2664973,-0.056986116,0.9595937,-0.014755107,0.063808404,0.34167388,3
0.9175179,-0.9750969,-0.47842798,0.77171123,-0.10076003,-0.99553627,0.86890787,0.47512257,-0.6597174,5
-1.6182363,0.83339024,-1.3128008,-0.6601183,1.2097703,1.5124912,-1.6214148,-0.2240658,1.2804781,5
-0.5940969,0.9861483,0.20026638,-0.9169151,-0.73740196,1.1412746,-0.737752,-0.02776367,0.4668474,1
-0.010152073,-0.5162391,1.3466429,-0.24687125,-0.86450005,-0.2939165,2.3149016,-0.8192848,1.8437605,3
-0.6850364,0.25928825,1.6670545,0.27278706,-0.8994423,0.5603812,0.025411464,-0.8240764,0.6546083,3
-0.49275815,-0.6392513,0.039183848,0.77047527,0.8161888,-0.6771965,0.86890787,-0.3949651,0.0913255,5
-1.6073651,-0.41815436,-0.75109035,1.2217343,0.5904075,-0.08658991,0.788575,1.7698343,0.15391293,5
0.5749206,-1.07331,-0.21471903,-1.1247213,-0.32154962,0.45786956,0.14591095,-0.58168405,-1.0352393,1
0.9517311,-0.27241325,0.32551375,-0.48299354,-0.6356468,-0.16195962,0.26641044,-1.0933928,-0.47195688,3
-0.34536573,0.32592297,0.676287,0.22138855,-0.5073969,1.042667,-1.5410819,-1.1063986,0.34167388,3
1.3668096,-0.16177188,-0.42395422,1.274339,-0.14722183,-1.1472267,1.5919048,-0.9518515,-0.25290176,5
-1.4125429,2.0213845,-0.39233857,-0.43344468,0.6345653,1.4762359,-1.5410819,-0.04008497,0.15391293,5
-0.62161773,0.2669026,0.4891606,-1.0283043,-0.8049829,-0.0438608,0.26641044,1.0256203,0.34167388,1
-0.17725456,0.3509012,0.76584935,-0.9650576,-0.94936,0.28434363,0.26641044,0.56319606,0.4981411,3
-0.22148977,-0.04482456,2.439975,2.135444,-1.1962603,-0.05702655,0.26641044,0.5650216,0.71719533,3
-1.4892724,-0.36918426,-1.1183437,1.5845202,1.6847562,-0.24958207,1.1902397,1.2226067,0.2790869,5
0.24090429,-0.7520162,-0.21274939,-1.1419564,0.10006253,-0.19193637,-0.49675304,-0.5412981,-0.3467829,1
-0.15878151,-0.6028966,-0.80683863,-0.7732974,1.3092216,-0.6986156,0.50740945,-1.2400299,-0.40936944,3
-0.52586365,0.32286263,0.52663004,-0.26324123,-0.2578086,0.6267433,-1.460749,0.2576767,0.9675432,3
1.4521148,-0.35443458,-0.08015881,0.46551034,-0.590337,-0.84588104,0.50740945,-1.3890249,0.34167388,5
-1.2469556,1.3626066,-0.59318715,0.19112045,0.65914017,1.2225262,-0.9385844,-0.95991343,0.9675432,5
-0.24629271,1.0764894,0.73889774,-0.5994245,-0.9439843,-1.4831799,0.3869099,2.515721,1.0927172,1
0.40765435,-0.19177172,1.7871636,0.8142238,-1.0668585,-1.4391135,1.3509058,0.60457087,1.0301301,3
-0.06917846,-0.18064746,1.817113,1.6486495,-0.97969455,-1.4251194,0.50740945,-0.42979893,1.5621192,3
0.48394653,-0.112137765,0.76161504,-0.4116237,-0.29044703,-1.4564999,0.9894073,-0.41443548,0.21649991,5
-1.4671125,1.1939768,0.026819069,1.6921463,0.6576042,-1.4969469,-0.41641992,0.7916701,1.7811735,5
0.55137974,0.18221408,-0.49499276,-1.1970289,-0.24820906,0.4150252,-0.8180849,0.9634061,-0.28419548,1
1.7302647,-0.39135092,0.08077367,-0.806975,-0.7212748,-1.0615108,0.7484084,-0.8320623,-0.15902244,3
0.06520606,0.536509,0.797157,0.47582853,-0.62374336,0.29914203,-0.8180849,-0.6684647,0.5294344,3
1.3271656,-0.93189174,0.2082973,0.5063608,-0.4517195,-1.1874436,0.788575,-0.98531634,-0.3467829,5
-1.2771745,2.8618908,0.32179445,-0.15033484,0.2640229,1.492317,-0.8180849,0.04433776,0.21649991,5
0.71096474,0.83316946,-0.14118937,-1.157457,-0.28315142,0.94294494,-0.69758546,1.3157003,-0.47195688,1
1.1377839,-1.085394,0.5044889,-0.9601564,-0.52813184,-0.88492733,-0.09508802,0.23417509,0.5294344,3
0.69432503,-0.24730913,0.5141245,-0.70210654,0.034401562,-0.28322053,-0.577086,-0.122073874,0.71719533,3
1.6103337,-1.2826936,0.42496413,0.10031628,-0.7773361,-1.3311458,1.1099068,-1.6958373,0.15391293,5
-1.4085233,1.381746,-1.1815773,0.106270224,1.3687388,1.1835874,-1.21975,1.8172171,0.9675432,5
-0.12712182,-1.0317576,-0.9226662,-1.1775818,0.07817566,-0.841865,-0.014755107,-0.7083183,-2.0366309,1
0.41833645,-0.7702802,-0.95079875,-0.104152806,-0.12187892,-1.1014476,0.50740945,-0.5886813,-3.100609,3
