CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope,target
-0.20986648,-0.1979597,1.591996,0.48261777,-0.9909984,-0.03748614,0.8864407,-1.1418853,0.58304656,3
-1.3428489,-0.8811208,-0.5655234,1.4717765,0.29931688,-0.8290794,1.9992067,1.3501225,0.079021096,5
1.3378567,-1.5418068,-0.08696168,-0.9741098,-0.49050242,-0.16291289,1.0621406,-0.9090154,-1.1180401,1
0.20738281,-0.1307625,0.7080125,0.42904124,-0.6514593,0.55260867,-1.3976579,-1.4131162,0.26803085,3
-1.1035305,1.5790108,-0.24543753,-0.25354043,0.33756065,1.0830964,-1.3976579,-0.38869324,0.079021096,5
-0.13196331,-0.19028108,0.5410544,-0.8736071,-0.9091898,-0.7767987,1.2378405,0.6351453,0.26803085,1
0.35955122,-0.5046396,2.2816117,2.4242043,-1.2480638,-0.79290754,1.2378405,0.19264138,0.6460498,3
-1.1977845,-0.83173734,-0.89319444,1.8499354,1.2471,-1.0285064,2.5848727,0.824393,0.20502758,5
0.9275531,-1.2178009,-0.085204326,-0.99207526,-0.12535653,-0.95797473,0.12507439,-0.870216,-0.42500484,1
-0.014339641,-0.13384867,0.5744854,-0.076124616,-0.43529817,0.043710485,-1.2805246,-0.102629274,0.8980628,3
-0.9001244,0.9146721,-0.42463884,0.39749053,0.35884422,0.7726731,-0.5191584,-1.2723858,0.8980628,5
0.32908347,0.62613976,0.76387507,-0.42655364,-1.0295749,-2.5378597,1.4135402,2.066707,1.0240693,1
0.54664946,-0.641609,1.7258812,1.916782,-1.0605025,-2.4668202,1.5892402,-0.76309717,1.4965934,3
-1.1705636,0.74461883,0.12854366,1.9621221,0.357514,-2.554704,0.24220787,0.4103859,1.7171046,5
1.3089391,-0.27568448,-0.33702776,-1.0494813,-0.4269843,-0.21533458,-0.34345853,0.57537514,-0.36200115,1
0.71172655,0.08160114,0.81585526,0.69426304,-0.7522236,-0.3571219,-0.34345853,-0.9923868,0.45704013,3
-0.9372448,2.4266124,0.39172688,0.04156615,0.016644731,1.1027722,-0.34345853,-0.3075871,0.14202434,5
1.5049723,0.38076577,-0.021356981,-1.0082327,-0.45724687,0.43059498,-0.16775864,0.9138293,-0.5510114,1
1.4845322,-0.70883346,0.5633277,-0.53358686,-0.18222356,-1.0696642,0.007941241,-0.46746117,0.6460498,3
-1.098593,0.93397295,-0.9496128,0.30904478,0.97340673,0.7250301,-0.9291249,1.3956438,0.8980628,5
0.4754722,-1.4999036,-0.71860695,-1.0292102,-0.14431211,-1.7531867,0.82787395,-1.0306748,-2.126092,1
-0.14489634,-0.62832046,-0.46303988,-0.63592434,0.1466739,-0.15468799,0.12507439,-1.0274597,-1.0550374,3
1.9113942,1.0685493,-0.06593831,-1.0073175,-0.6098898,0.90376407,0.007941241,0.75972754,-0.61401415,1
0.5203318,0.60368747,0.723544,1.8503754,-0.7369261,0.6907647,0.007941241,-0.532273,0.8980628,3
-0.8130662,1.9920555,0.14370988,-0.25125697,0.13370422,1.0786421,-0.6948583,2.9284792,0.58304656,5
0.65333587,-1.5318744,-0.88210243,-0.97882336,0.19223398,-1.2466992,0.359341,-1.0293595,-2.1890948,1
-0.88171047,-0.3798072,0.6612354,-0.554751,-0.37976146,1.0786793,-1.6319245,-0.92640585,-0.04698539,3
-1.5005288,0.1812471,-3.5088859,0.29926237,3.6474857,0.932137,-1.6319245,0.7532241,0.14202434,5
1.5160562,1.0281404,0.6288721,-0.81575686,-0.7372587,0.89771986,-0.46059167,-0.06105313,0.14202434,1
0.7120867,-0.30364648,1.4354812,1.3585637,-0.91816884,-0.095481075,0.359341,-1.2498078,1.1500758,3
-1.1102015,-0.32679957,-1.0130044,1.7875494,0.18824328,-0.14644276,0.359341,-0.658755,0.8980628,5
