CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope,target
-0.67883414,-1.335942,-1.6787229,-0.94929117,1.1415292,-0.29768285,-0.73346555,0.41477513,-1.8303821,1
0.07161439,-0.2438896,-0.24105065,-0.15716957,-0.14020573,-0.49257857,-0.6402017,0.4697877,-0.2838077,3
0.34796092,-0.53751767,-0.8816734,1.9118848,-0.07422821,-0.5081372,0.85202146,0.6319445,0.013611031,5
-1.6960562,2.6839008,0.94129395,-0.7599952,-0.62699145,2.1616344,-0.7800976,0.5458015,0.40025416,1
-1.4066474,0.2087767,1.2173694,-0.42173493,-0.97297144,0.56975704,-0.6402017,-0.7139102,1.1437997,3
-0.7829859,-1.498095,-0.24243331,3.5054939,0.21140656,-0.88381493,1.7846609,0.6974577,0.6084472,5
-0.61635405,-0.6514039,-0.71575266,-0.9528433,0.89049256,1.8118631,-0.6402017,1.072323,-0.5812256,1
-0.46389648,0.40359768,-0.007924745,-0.47081962,0.78428507,-0.64144444,0.47896573,0.867327,-0.10535628,3
0.46965262,-0.66665125,-0.7602637,0.91340125,0.5091101,-0.63033116,0.47896573,0.86398184,-0.34329093,5
-1.6196762,1.6563804,0.18926087,-0.7155481,-0.82492423,1.8469605,-1.3863134,0.24955188,0.7274141,1
-0.81255734,-0.123149045,1.7930943,-0.06918391,-1.0912485,0.18308519,2.157717,-0.71753436,2.0360541,3
-1.4796075,-0.268853,-0.03610097,0.9122089,2.430506,-0.26126695,0.47896573,-0.19909753,0.37051213,5
-0.0038796188,-0.7829815,-0.39132276,-0.9160103,0.04646247,1.0546613,-0.36040983,-0.4272321,-0.70019287,1
0.5169416,0.16565487,0.36448774,-0.2969615,-0.61170405,0.33606815,-0.22051391,-1.0524416,-0.16484037,3
1.0906563,0.29670602,-0.6840524,1.3982658,0.41175294,-0.806192,1.3183414,-0.87950534,0.043353077,5
-1.6577151,0.8044572,0.59343714,-0.82300067,-0.96653473,0.4729849,-0.22051391,1.536584,0.6084472,1
-1.0435237,0.9039508,0.98053735,-0.7619891,-1.2690661,0.85348564,-0.22051391,0.97159064,0.75715613,3
-0.46555144,-0.40241936,-0.38856715,-0.9326363,0.9299183,0.3013149,-1.1065216,-0.3778882,-0.04587306,1
-1.0179906,-0.225792,-1.2197253,-0.5770059,3.4636183,-0.28609902,0.05927795,-1.2316039,-0.10535628,3
1.2085637,0.06850322,-0.20306681,0.61802167,-0.5167607,-0.4568298,0.05927795,-1.4136469,0.6084472,3
-1.138947,1.7633867,0.94283086,-0.40927774,-1.2578017,-1.1956763,-0.08061799,3.3572001,1.3222507,1
-0.23507227,0.26117218,2.409403,0.9544114,-1.515275,-1.1445884,1.0385494,1.0221428,1.262767,3
-0.12962247,0.35549602,0.9746134,-0.22811389,0.11163556,-1.1647451,0.6188617,-0.22288655,0.48947987,5
-0.036417462,0.70414627,-0.78343856,-0.9857624,0.200142,1.0049901,-1.4795773,1.4605702,0.013611031,1
1.5930178,0.024777003,0.0220851,-0.6094933,-0.7911309,-0.70681816,0.3390698,-0.733146,0.13257748,3
1.035861,-0.61547613,0.20049651,0.65742844,-0.2262985,-0.85281706,0.38570186,-0.920393,-0.04587306,3
0.18415833,1.4751819,-0.2884514,-0.9475891,0.12692298,1.617029,-1.3396814,1.8910059,-0.16484037,1
0.77410066,-0.79729456,0.6148821,-0.75726116,-0.38641474,-0.5020977,-0.6402017,0.5695905,0.7868977,3
1.4272512,-1.0309898,0.50362337,0.2657338,-0.90860313,-1.0194168,0.7587576,-1.7885125,0.42999622,5
-0.97423106,-0.73376393,-1.3817734,-0.9670026,0.8840561,-0.4521738,-0.5469378,-0.5819547,-1.6519314,1
-0.22030765,-0.42405254,-1.4211321,0.06849078,0.46485707,-0.7531184,0.05927795,-0.4357813,-2.6631534,3
-0.014063812,-0.6998851,-1.0163397,1.2448531,0.09071568,-0.8786516,1.1784453,-0.65722513,-1.5924473,5
0.64146256,2.28302,-0.3583571,-0.9467422,-0.24239053,2.0653718,-1.1997855,1.695024,-0.2243236,1
1.2480929,-1.1880355,1.3586801,0.17396168,-0.88848805,-0.778342,-0.4536737,-0.312096,0.7868977,3
1.7091876,-1.1975132,0.6814581,1.2335553,-0.43066794,-0.7995591,1.0385494,-0.72459674,1.0248324,5
-0.7740995,-0.77131546,-1.6381422,-0.92037237,1.6983157,0.027739212,-0.9199936,-0.580282,-1.7114147,1
-1.0758008,-0.451078,-0.8601844,-0.55952066,1.5076243,-0.41279787,-0.7800976,0.2764077,-0.8191602,3
-0.116183266,-0.48350915,-1.5688494,-0.022853807,1.1769321,-0.85596496,0.7587576,0.30344906,-0.40277502,3
0.19662987,2.2355578,0.73113954,-0.7694635,-0.5505542,2.0596447,-1.5728412,0.65118027,0.48947987,1
0.21846816,-0.27091458,1.6226802,-0.012164464,-0.9343505,0.05819993,-0.17388184,-0.46449542,1.441218,3
1.1141294,-1.0975864,0.009110444,1.8175678,2.4626904,-0.66584104,0.012645884,0.12633112,0.54896355,5
